,height,v,ori,start_x,ball_d,g,unit,s_expect,pix_w,pix_h,scale,h0,id,rt,s,points,name,sex,age,exp_num,distance,est,g_inv,date
73,0.4,1.0,right,2.0,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0,73,3.439483800000744,0.31625,0.9694642857142857,tty,male,21,1,50,0.31625,7.998875158180883,20/10/18
74,1.2,1.7,right,2.0,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,74,2.70915910002077,0.63375,0.7924681791808312,tty,male,21,1,50,0.63375,17.269236604694044,20/10/18
75,1.6,1.0,left,1.7,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0,75,15.667265899974154,-0.50625,0.9348214285714286,tty,male,21,1,50,0.50625,12.485901539399483,20/10/18
76,1.2,2.4,left,2.0,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0,76,4.893859399977373,-0.8625,0.6748080176670559,tty,male,21,1,50,0.8625,18.58298676748582,20/10/18
77,0.8,1.0,left,1.7,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0,77,3.5256284000060987,-0.41875,0.9853110178208843,tty,male,21,1,50,0.41875,9.124526620628203,20/10/18
78,1.2,1.0,right,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0,78,2.4434192999906372,0.44625,0.9513783406946066,tty,male,21,1,50,0.44625,12.051879575359555,20/10/18
79,1.6,1.0,left,1.7,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0,79,3.696904300013557,-0.57625,0.9951785714285714,tty,male,21,1,50,0.57625,9.636694726638778,20/10/18
80,1.2,1.7,left,2.0,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,80,4.150766500009922,-0.88375,0.9575318208191688,tty,male,21,1,50,0.88375,8.880761990121014,20/10/18
81,0.8,2.4,left,2.0,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,81,3.8939046999730635,-0.88875,0.9190035572298778,tty,male,21,1,50,0.88875,11.667645854474888,20/10/18
82,1.6,2.4,right,1.7,0.05715,9.8,m,1.3714285714285712,3200,1800,800.0,-600.0,82,3.0568017999758013,1.5475,0.8239285714285711,tty,male,21,1,50,1.5475,7.6968167428313405,20/10/18
